City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2022-06-21 14:50:59,3.0707,172.7902,82.56,73,37,13.49
1,Itupiranga,BR,2022-06-21 14:51:00,-5.1347,-49.3267,88.12,47,3,4.81
2,Vao,NC,2022-06-21 14:51:00,-22.6667,167.4833,70.43,53,83,15.97
3,Ginda,IN,2022-06-21 14:51:00,30.6945,78.4932,67.06,56,90,3.47
4,Ust-Tsilma,RU,2022-06-21 14:51:01,65.441,52.1498,63.18,52,100,10.0
5,Santiago Del Estero,AR,2022-06-21 14:51:01,-27.7951,-64.2615,63.68,44,5,13.91
6,Punta Arenas,CL,2022-06-21 14:47:51,-53.15,-70.9167,35.71,87,40,14.97
7,Tasiilaq,GL,2022-06-21 14:51:02,65.6145,-37.6368,36.93,88,21,13.35
8,Vaini,TO,2022-06-21 14:51:02,-21.2,-175.2,71.76,94,40,2.3
9,Honiara,SB,2022-06-21 14:51:02,-9.4333,159.95,76.57,88,15,4.83
10,Jamestown,US,2022-06-21 14:46:45,42.097,-79.2353,78.39,64,20,9.22
11,Aklavik,CA,2022-06-21 14:51:03,68.2191,-135.0107,50.0,66,20,4.61
12,Torbay,CA,2022-06-21 14:51:03,47.6666,-52.7314,65.17,89,100,11.5
13,Kruisfontein,ZA,2022-06-21 14:51:04,-34.0033,24.7314,63.88,72,100,4.88
14,Deputatskiy,RU,2022-06-21 14:51:04,69.3,139.9,40.48,57,4,2.53
15,Mataura,NZ,2022-06-21 14:51:04,-46.1927,168.8643,29.48,92,0,2.51
16,Vestmannaeyjar,IS,2022-06-21 14:51:05,63.4427,-20.2734,47.39,100,100,23.02
17,Tyazhinskiy,RU,2022-06-21 14:51:05,56.116,88.524,61.25,91,41,4.88
18,Rikitea,PF,2022-06-21 14:51:05,-23.1203,-134.9692,72.48,62,20,8.25
19,Padang,ID,2022-06-21 14:51:06,-0.9492,100.3543,78.19,87,100,2.89
20,Busselton,AU,2022-06-21 14:51:06,-33.65,115.3333,64.27,78,91,11.01
21,Albany,US,2022-06-21 14:48:39,42.6001,-73.9662,65.26,59,100,3.65
22,Kutum,SD,2022-06-21 14:51:07,14.2,24.6667,91.49,21,10,7.87
23,Khani,GE,2022-06-21 14:51:07,41.9563,42.9566,63.97,98,93,3.15
24,East London,ZA,2022-06-21 14:51:07,-33.0153,27.9116,67.14,77,0,5.75
